location_type,bike_cost,status,occ_date,occ_year,occ_month
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",1300,STOLEN,2013-12-26,2013,December
"Streets, Roads, Highways (Bicycle Path, Private Road)",500,STOLEN,2013-12-30,2013,December
Apartment,750,STOLEN,2013-09-30,2013,September
Apartment,1500,STOLEN,2013-12-25,2013,December
"Streets, Roads, Highways (Bicycle Path, Private Road)",400,STOLEN,2013-12-25,2013,December
Apartment,1019,STOLEN,2014-01-01,2014,January
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",600,STOLEN,2013-07-01,2013,July
Apartment,1200,STOLEN,2013-12-31,2013,December
Apartment,1500,STOLEN,2013-12-31,2013,December
"Private Property Structure (Pool, Shed, Detached Garage)",560,STOLEN,2014-01-03,2014,January
Apartment,200,STOLEN,2014-01-04,2014,January
"Parking Lots (Apt., Commercial Or Non-Commercial)",1000,STOLEN,2013-12-23,2013,December
"Single Home, House (Attach Garage, Cottage, Mobile)",900,STOLEN,2014-01-04,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",1500,STOLEN,2013-12-28,2013,December
Apartment,1300,STOLEN,2013-11-22,2013,November
Bar / Restaurant,1800,STOLEN,2014-01-05,2014,January
Apartment,479,STOLEN,2014-01-08,2014,January
"Parking Lots (Apt., Commercial Or Non-Commercial)",3300,STOLEN,2013-12-27,2013,December
"Private Property Structure (Pool, Shed, Detached Garage)",150,STOLEN,2014-01-07,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",400,STOLEN,2014-01-10,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",800,STOLEN,2014-01-10,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",200,STOLEN,2014-01-11,2014,January
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",700,STOLEN,2013-06-06,2013,June
"Single Home, House (Attach Garage, Cottage, Mobile)",200,STOLEN,2014-01-11,2014,January
Apartment,900,STOLEN,2014-01-11,2014,January
"Private Property Structure (Pool, Shed, Detached Garage)",1100,STOLEN,2014-01-13,2014,January
Apartment,2399,STOLEN,2014-01-08,2014,January
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2000,STOLEN,2014-01-14,2014,January
Schools During Supervised Activity,600,STOLEN,2014-01-14,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",750,STOLEN,2014-01-15,2014,January
Apartment,300,STOLEN,2014-01-12,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",120,STOLEN,2014-01-18,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",150,STOLEN,2014-01-18,2014,January
"Private Property Structure (Pool, Shed, Detached Garage)",350,STOLEN,2014-01-09,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",2000,STOLEN,2014-01-09,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",100,STOLEN,2014-01-17,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",500,STOLEN,2013-12-25,2013,December
Convenience Stores,3000,UNKNOWN,2014-01-22,2014,January
"Single Home, House (Attach Garage, Cottage, Mobile)",950,STOLEN,2013-12-25,2013,December
"Parking Lots (Apt., Commercial Or Non-Commercial)",1800,STOLEN,2014-01-05,2014,January
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",10000,STOLEN,2014-01-25,2014,January
"Parking Lots (Apt., Commercial Or Non-Commercial)",1600,STOLEN,2014-01-27,2014,January
"Parking Lots (Apt., Commercial Or Non-Commercial)",1000,STOLEN,2014-01-28,2014,January
"Parking Lots (Apt., Commercial Or Non-Commercial)",1100,STOLEN,2014-01-27,2014,January
"Construction Site (Warehouse, Trailer, Shed)",1800,STOLEN,2014-01-29,2014,January
Apartment,200,UNKNOWN,2014-02-02,2014,February
"Parking Lots (Apt., Commercial Or Non-Commercial)",850,STOLEN,2014-02-01,2014,February
"Private Property Structure (Pool, Shed, Detached Garage)",1400,STOLEN,2014-02-03,2014,February
"Single Home, House (Attach Garage, Cottage, Mobile)",400,STOLEN,2014-01-27,2014,January
"Parking Lots (Apt., Commercial Or Non-Commercial)",400,STOLEN,2014-02-04,2014,February
"Private Property Structure (Pool, Shed, Detached Garage)",500,STOLEN,2014-01-31,2014,January
Apartment,2000,STOLEN,2014-02-04,2014,February
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",9423,STOLEN,2014-01-25,2014,January
"Construction Site (Warehouse, Trailer, Shed)",2500,STOLEN,2014-02-07,2014,February
"Construction Site (Warehouse, Trailer, Shed)",4000,STOLEN,2014-02-07,2014,February
Apartment,1750,STOLEN,2014-01-01,2014,January
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",3300,STOLEN,2014-02-11,2014,February
"Parking Lots (Apt., Commercial Or Non-Commercial)",1700,STOLEN,2014-02-12,2014,February
"Streets, Roads, Highways (Bicycle Path, Private Road)",200,STOLEN,2014-02-15,2014,February
"Single Home, House (Attach Garage, Cottage, Mobile)",500,STOLEN,2014-02-16,2014,February
"Private Property Structure (Pool, Shed, Detached Garage)",700,STOLEN,2014-01-15,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",1500,STOLEN,2014-02-16,2014,February
"Streets, Roads, Highways (Bicycle Path, Private Road)",100,STOLEN,2014-02-14,2014,February
"Parking Lots (Apt., Commercial Or Non-Commercial)",150,STOLEN,2014-02-16,2014,February
"Single Home, House (Attach Garage, Cottage, Mobile)",2000,STOLEN,2014-02-24,2014,February
Apartment,1400,STOLEN,2014-01-18,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",700,STOLEN,2014-02-25,2014,February
Apartment,250,STOLEN,2013-11-27,2013,November
"Private Property Structure (Pool, Shed, Detached Garage)",1000,STOLEN,2014-02-23,2014,February
"Private Property Structure (Pool, Shed, Detached Garage)",300,STOLEN,2014-02-23,2014,February
"Private Property Structure (Pool, Shed, Detached Garage)",1850,STOLEN,2014-02-23,2014,February
"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",1500,STOLEN,2014-03-03,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",80,STOLEN,2014-03-03,2014,March
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",800,STOLEN,2014-03-04,2014,March
"Parking Lots (Apt., Commercial Or Non-Commercial)",550,STOLEN,2014-03-05,2014,March
"Parking Lots (Apt., Commercial Or Non-Commercial)",350,STOLEN,2014-03-05,2014,March
Apartment,2000,STOLEN,2014-03-05,2014,March
"Open Areas (Lakes, Parks, Rivers)",2000,STOLEN,2014-03-06,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",400,STOLEN,2014-03-07,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",500,STOLEN,2014-03-05,2014,March
"Private Property Structure (Pool, Shed, Detached Garage)",2500,STOLEN,2014-03-08,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",500,STOLEN,2014-03-08,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",500,STOLEN,2014-02-23,2014,February
"Streets, Roads, Highways (Bicycle Path, Private Road)",1600,STOLEN,2014-03-08,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",700,STOLEN,2014-03-07,2014,March
"Parking Lots (Apt., Commercial Or Non-Commercial)",2000,STOLEN,2014-03-08,2014,March
Apartment,200,STOLEN,2014-03-10,2014,March
Apartment,2200,STOLEN,2013-02-09,2013,February
"Private Property Structure (Pool, Shed, Detached Garage)",300,STOLEN,2014-03-10,2014,March
"Private Property Structure (Pool, Shed, Detached Garage)",400,STOLEN,2014-03-10,2014,March
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",500,STOLEN,2014-03-10,2014,March
Ttc Subway Station,400,STOLEN,2014-01-15,2014,January
"Streets, Roads, Highways (Bicycle Path, Private Road)",500,STOLEN,2014-03-08,2014,March
"Group Homes (Non-Profit, Halfway House, Social Agency)",250,STOLEN,2014-03-12,2014,March
"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",1000,STOLEN,2014-03-11,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",500,STOLEN,2014-03-16,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",300,STOLEN,2014-03-16,2014,March
Universities / Colleges,300,STOLEN,2014-03-19,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",895,STOLEN,2014-03-20,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",200,STOLEN,2014-03-10,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",300,STOLEN,2014-03-19,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",1000,STOLEN,2014-03-14,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",100,STOLEN,2014-03-19,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",400,STOLEN,2014-03-19,2014,March
"Private Property Structure (Pool, Shed, Detached Garage)",200,STOLEN,2014-03-21,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",932.25,STOLEN,2014-03-23,2014,March
"Single Home, House (Attach Garage, Cottage, Mobile)",500,STOLEN,2014-03-23,2014,March
"Streets, Roads, Highways (Bicycle Path, Private Road)",1800,STOLEN,2014-03-24,2014,March
